screen_name,name,id,created_at,followers_count,following_count,tweets_count,favorites_count,
Astro_Kimiya,油井 亀美也　Kimiya.Yui,569247858,Wed May 02 14:54:25 +0000 2012,15404,27,1659,0,
JAXA_en,JAXA Web,104989762,Fri Jan 15 00:57:24 +0000 2010,41045,10,932,0,
Aki_Hoshide,星出 彰彦 (JAXA宇宙飛行士),Fri Oct 14 00:45:33 +0000 2011,62919,36,3296,4,
fka_roscosmos,РОСКОСМОС,2306083502,Thu Jan 23 06:45:35 +0000 2014,5830,75,353,1,
spacetihon,Nikolay Tikhonov,842286996,Sun Sep 23 19:44:21 +0000 2012,1257,42,138,47,
OlegMKS,Oleg Artemyev,2459541229,Wed Apr 23 10:35:04 +0000 2014,4755,19,439,0,
Msuraev,Макс Сураев,391494900,Sat Oct 15 17:05:57 +0000 2011,8352,132,680,5,
AntonAstrey,Anton Shkaplerov,2325202999,Mon Feb 03 09:53:09 +0000 2014,2712,19,96,116,
astro_Jfrancois,Clervoy JeanFrancois,847170962,Wed Sep 26 10:43:26 +0000 2012,1060,22,21,0,
astro_timpeake,Tim Peake,552582271,Fri Apr 13 10:12:28 +0000 2012,26950,170,810,139,
Thom_astro,Thomas Pesquet,437520768,Thu Dec 15 14:18:06 +0000 2011,12469,174,1108,500,
Astro_Alex,Alexander Gerst,390287262,Thu Oct 13 19:05:22 +0000 2011,53440,100,1591,30,
AstroSamantha,Sam Cristoforetti,337886919,Mon Jul 18 18:54:02 +0000 2011,54039,567,6073,4148,
astro_luca,Luca Parmitano,290876018,Sun May 01 03:01:30 +0000 2011,127995,66,4376,772,
astro_andre,André Kuipers,266464616,Tue Mar 15 08:16:25 +0000 2011,321131,396,1553,192,
astro_paolo,Paolo Nespoli,173116059,Sat Jul 31 13:39:45 +0000 2010,91081,5,1314,0,
Astro_Andreas,Andreas Mogensen,40426996,Sat May 16 07:15:43 +0000 2009,12193,132,714,63,
CFuglesang,Christer,62584402,Mon Aug 03 18:30:23 +0000 2009,10563,53,931,5,
ESA_EAC,ESA Astronaut Centre,1088665734,Mon Jan 14 10:53:02 +0000 2013,2427,26,341,12,
esa,ESA,21436960,Fri Feb 20 21:38:25 +0000 2009,185961,490,16694,2532,
esaoperations,ESA Operations,17384099,Fri Nov 14 08:55:59 +0000 2008,56278,269,10880,951,
csa_asc,CanadianSpaceAgency,93714983,Mon Nov 30 21:37:50 +0000 2009,94099,720,21361,3086,
asc_csa,Agence spatiale can.,93714345,Mon Nov 30 21:34:37 +0000 2009,3249,247,6287,207,
Astro_Jeremy,Jeremy R. Hansen,351640699,Tue Aug 09 14:55:39 +0000 2011,27095,52,957,3,
Astro_DavidS,David Saint-Jacques,351621695,Tue Aug 09 14:23:44 +0000 2011,15610,8,650,5,
AstroDaveMD,Dave Williams,40683302,Sun May 17 16:07:24 +0000 2009,7787,71,729,13,
Cmdr_Hadfield,Chris Hadfield,186154646,Thu Sep 02 18:21:55 +0000 2010,1098830,67,6490,790,
RobertaBondar,Roberta Bondar,1852479216,Tue Sep 10 21:10:22 +0000 2013,537,31,87,2,
RobertThirsk,Robert Thirsk,833510688,Wed Sep 19 15:00:59 +0000 2012,403,46,13,0,
AstroGarneau,Astro-Marc Garneau,977412476,Thu Nov 29 02:18:09 +0000 2012,66,32,95,34,
